term_id,english_or_interface_term,candidate_kreyol_explanation,episode_ids,source_or_usage_context,kreyol_reviewer,decision_status,decision_notes
T001,Information Technology,,E01,S01/S22,,Open,
T002,hardware,,E02-E04,S02,,Open,
T003,software,,E02-E06,S02/S03,,Open,
T004,CPU,,E03,S02,,Open,
T005,RAM,,E03,S02,,Open,
T006,storage,,E03/E10,S02/S05,,Open,
T007,operating system,,E04,S03,,Open,
T008,file/folder/extension,,E05,S04,,Open,
T009,app/browser/website,,E06,S06,,Open,
T010,data/information,,E07,S26/NIST information-quality context,,Open,
T011,troubleshooting,,E08/E11/E28,S23,,Open,
T012,restart/reset,,E09,Device docs pending,,Open,
T013,internet/Web,,E12,S06/S07,,Open,
T014,modem/router/Wi-Fi,,E13,S08,,Open,
T015,bandwidth/latency,,E14,Cloudflare sources,,Open,
T016,IP address,,E15,Cloudflare/IANA,,Open,
T017,DNS,,E16,S09,,Open,
T018,URL/HTTPS,,E17,S06/S18,,Open,
T019,cloud computing,,E18,S10,,Open,
T020,backup/sync/restore,,E19,S12/service docs,,Open,
T021,authentication/authorization,,E20,S11/S14,,Open,
T022,public Wi-Fi,,E21,S18,,Open,
T023,password/password manager,,E22,S13/S14,,Open,
T024,multifactor authentication (MFA),,E23,S14/S15,,Open,
T025,phishing,,E24,S16,,Open,
T026,update/patch,,E25,S17/vendor docs,,Open,
T027,app permission/least privilege,,E26,S19-S21,,Open,
T028,malware,,E27,S17/S19,,Open,
T029,help desk,,E28,S23,,Open,
